,year,month,intent,police,sex,age,race,place,education
48323,2013,3,Suicide,0,M,60.0,White,Home,HS/GED
48325,2013,3,Suicide,0,M,56.0,White,Other unspecified,HS/GED
48326,2013,3,Suicide,0,M,47.0,White,Trade/service area,HS/GED
48329,2013,3,Suicide,0,M,82.0,White,Home,Some college
48330,2013,3,Accidental,0,M,46.0,White,Home,BA+
48331,2013,4,Suicide,0,M,38.0,White,Home,BA+
48342,2013,4,Suicide,0,M,44.0,Black,Trade/service area,HS/GED
48346,2013,4,Undetermined,0,F,17.0,White,Home,HS/GED
48349,2013,3,Suicide,0,M,35.0,White,Other specified,Some college
48350,2013,3,Suicide,0,M,35.0,White,Home,Some college
48352,2013,4,Suicide,0,M,65.0,White,Home,BA+
48363,2013,4,Suicide,0,M,72.0,White,Home,Less than HS
48364,2013,4,Suicide,0,M,30.0,Black,Home,BA+
48372,2013,4,Suicide,0,M,38.0,White,Street,Some college
48373,2013,4,Suicide,0,M,78.0,White,Home,Some college
48388,2013,4,Suicide,0,M,20.0,Black,Trade/service area,Less than HS
48389,2013,5,Suicide,0,M,32.0,Black,Other unspecified,HS/GED
48397,2013,5,Suicide,0,F,57.0,White,Other specified,Some college
48405,2013,4,Suicide,0,M,46.0,White,Home,Some college
48408,2013,5,Suicide,0,M,33.0,White,Home,BA+
48413,2013,5,Accidental,0,M,73.0,White,Other specified,HS/GED
48416,2013,5,Suicide,0,F,26.0,White,Home,HS/GED
48422,2013,5,Suicide,0,M,69.0,White,Trade/service area,HS/GED
48423,2013,5,Suicide,0,F,67.0,White,Home,BA+
48426,2013,5,Suicide,0,M,47.0,White,Sports,HS/GED
48436,2013,5,Suicide,0,M,47.0,Black,Home,HS/GED
48442,2013,6,Suicide,0,M,54.0,Black,Home,HS/GED
48443,2013,5,Suicide,0,M,75.0,White,Home,Less than HS
48444,2013,5,Suicide,0,M,56.0,White,Other unspecified,HS/GED
48446,2013,6,Suicide,0,M,85.0,White,Other specified,Less than HS
48451,2013,6,Suicide,0,M,47.0,Black,Other specified,HS/GED
48452,2013,6,Suicide,0,M,62.0,Black,Home,HS/GED
48455,2013,6,Suicide,0,M,53.0,White,Home,Some college
48456,2013,6,Suicide,0,F,25.0,White,Home,BA+
48464,2013,6,Suicide,0,M,31.0,White,Trade/service area,BA+
48475,2013,6,Suicide,0,F,55.0,White,Home,HS/GED
48481,2013,7,Suicide,0,M,65.0,White,Other specified,BA+
48483,2013,7,Suicide,0,M,56.0,Black,Home,HS/GED
48484,2013,7,Accidental,0,F,64.0,White,Other unspecified,HS/GED
48496,2013,6,Suicide,0,M,32.0,Black,Home,HS/GED
48497,2013,7,Suicide,0,M,62.0,White,Home,BA+
48499,2013,7,Suicide,0,M,50.0,White,Other specified,BA+
48500,2013,7,Suicide,0,F,82.0,White,Residential institution,HS/GED
48505,2013,7,Suicide,0,M,24.0,White,Home,BA+
48510,2013,7,Suicide,0,M,19.0,Black,Trade/service area,HS/GED
48512,2013,7,Suicide,0,M,68.0,White,Home,Some college
48513,2013,7,Suicide,0,F,33.0,White,Home,BA+
48515,2013,7,Suicide,0,M,65.0,White,Home,Some college
48518,2013,7,Suicide,0,M,22.0,Black,Home,Some college
48531,2013,7,Suicide,0,M,72.0,White,Street,HS/GED
48533,2013,8,Suicide,0,M,79.0,White,Home,Less than HS
48541,2013,8,Suicide,0,M,76.0,White,Other specified,HS/GED
48544,2013,8,Suicide,0,M,51.0,White,Other unspecified,HS/GED
48548,2013,8,Suicide,0,M,59.0,White,Trade/service area,BA+
48556,2013,8,Suicide,0,M,35.0,White,Home,HS/GED
48557,2013,8,Suicide,0,M,38.0,Black,Home,Some college
48559,2013,8,Suicide,0,F,69.0,White,Home,HS/GED
48561,2013,8,Suicide,0,M,59.0,Black,Home,Some college
48568,2013,5,Suicide,0,M,62.0,White,Home,Less than HS
48569,2013,8,Suicide,0,F,47.0,White,Trade/service area,Some college
48576,2013,9,Suicide,0,M,36.0,White,Home,BA+
48584,2013,9,Suicide,0,F,24.0,White,Home,HS/GED
48590,2013,8,Suicide,0,M,24.0,White,Home,Some college
48593,2013,8,Suicide,0,M,44.0,White,Home,Some college
48601,2013,9,Suicide,0,M,77.0,White,Home,Less than HS
48608,2013,9,Suicide,0,F,71.0,White,Home,Some college
48611,2013,9,Suicide,0,M,21.0,White,Home,BA+
48616,2013,9,Suicide,0,M,15.0,White,Home,Less than HS
48619,2013,9,Suicide,0,M,61.0,White,Trade/service area,HS/GED
48622,2013,9,Suicide,0,M,19.0,White,Other specified,HS/GED
48624,2013,10,Suicide,0,M,89.0,White,Home,Less than HS
48626,2013,9,Suicide,0,M,20.0,Black,Other specified,HS/GED
48629,2013,9,Suicide,0,M,33.0,White,Home,BA+
48630,2013,9,Suicide,0,M,37.0,White,Home,HS/GED
48637,2013,10,Suicide,0,M,26.0,White,Other specified,HS/GED
48648,2013,10,Suicide,0,F,25.0,White,Other unspecified,HS/GED
48650,2013,10,Suicide,0,M,27.0,Black,Home,Some college
48652,2013,10,Suicide,0,M,37.0,White,Home,BA+
48659,2013,10,Suicide,0,M,30.0,Black,Home,HS/GED
48662,2013,11,Suicide,0,M,14.0,White,Other specified,Less than HS
48670,2013,10,Suicide,0,M,47.0,Black,Home,Some college
48676,2013,11,Accidental,0,M,23.0,Black,Home,Less than HS
48677,2013,10,Suicide,0,M,46.0,White,Other specified,HS/GED
48684,2013,11,Suicide,0,M,60.0,White,Other specified,Some college
48692,2013,10,Suicide,0,M,47.0,Black,Other specified,HS/GED
48697,2013,11,Suicide,0,M,27.0,White,Home,BA+
48701,2013,11,Suicide,0,M,57.0,White,Other specified,HS/GED
48708,2013,11,Suicide,0,M,46.0,White,Home,BA+
48710,2013,11,Undetermined,0,M,76.0,White,Home,HS/GED
48711,2013,11,Suicide,0,M,34.0,Black,Home,BA+
48713,2013,11,Accidental,0,M,49.0,White,Other unspecified,BA+
48720,2013,11,Suicide,0,M,40.0,Black,Home,BA+
48735,2013,12,Suicide,0,M,53.0,White,Street,HS/GED
48750,2013,12,Suicide,0,M,22.0,White,Other specified,Less than HS
48752,2013,12,Suicide,0,M,79.0,White,Home,Less than HS
48757,2013,12,Suicide,0,M,38.0,White,Home,Some college
48758,2013,12,Suicide,0,M,40.0,White,Home,HS/GED
48761,2013,6,Suicide,0,M,60.0,White,Other specified,Some college
48763,2013,2,Suicide,0,M,38.0,White,Other unspecified,Some college
48764,2013,5,Suicide,0,M,65.0,White,Other unspecified,HS/GED
48765,2013,5,Suicide,0,M,71.0,White,Other unspecified,Some college
48769,2013,1,Suicide,0,M,56.0,White,Other unspecified,Less than HS
48770,2013,1,Suicide,0,M,84.0,White,Other unspecified,Some college
48771,2013,1,Suicide,0,M,24.0,White,Other specified,Some college
48775,2013,1,Suicide,0,F,77.0,White,Other unspecified,Less than HS
48776,2013,2,Suicide,0,M,87.0,White,Other unspecified,Less than HS
48777,2013,2,Suicide,0,M,42.0,White,Home,Some college
48778,2013,2,Undetermined,0,M,64.0,White,Other unspecified,HS/GED
48779,2013,1,Suicide,0,M,64.0,White,Other specified,HS/GED
48781,2013,2,Suicide,0,M,81.0,White,Other unspecified,BA+
48782,2013,2,Suicide,0,M,55.0,White,Other unspecified,Some college
48783,2013,2,Suicide,0,M,35.0,White,Other unspecified,BA+
48785,2013,3,Suicide,0,M,81.0,White,Other unspecified,HS/GED
48787,2013,3,Suicide,0,M,47.0,White,Other unspecified,Less than HS
48788,2013,3,Suicide,0,M,76.0,White,Other unspecified,BA+
48789,2013,3,Suicide,0,M,59.0,White,Other unspecified,HS/GED
48790,2013,3,Suicide,0,M,37.0,White,Other specified,HS/GED
48791,2013,3,Suicide,0,F,48.0,White,Other unspecified,Some college
48792,2013,4,Suicide,0,M,61.0,White,Other unspecified,BA+
48794,2013,4,Suicide,0,M,53.0,White,Industrial/construction,HS/GED
48796,2013,4,Suicide,0,M,26.0,White,Other unspecified,HS/GED
48798,2013,4,Suicide,0,M,37.0,White,Other unspecified,Less than HS
48799,2013,4,Suicide,0,F,48.0,White,Other unspecified,HS/GED
48800,2013,4,Undetermined,0,F,21.0,White,Other unspecified,HS/GED
48802,2013,4,Suicide,0,M,52.0,White,Other unspecified,HS/GED
48804,2013,4,Suicide,0,M,58.0,White,Other unspecified,HS/GED
48806,2013,4,Suicide,0,M,52.0,White,Other unspecified,Some college
48808,2013,4,Accidental,0,M,50.0,White,Other unspecified,HS/GED
48809,2013,4,Suicide,0,M,72.0,White,Other unspecified,Less than HS
48810,2013,4,Suicide,0,M,77.0,White,Industrial/construction,HS/GED
48811,2013,4,Suicide,0,F,50.0,White,Other unspecified,BA+
48812,2013,4,Suicide,0,M,21.0,White,Other specified,Less than HS
48813,2013,4,Suicide,0,M,35.0,White,Other unspecified,BA+
48816,2013,5,Suicide,0,M,71.0,White,Other specified,HS/GED
48817,2013,5,Suicide,0,M,34.0,White,Other unspecified,BA+
48818,2013,5,Suicide,0,M,63.0,White,Other unspecified,Some college
48819,2013,5,Suicide,0,M,58.0,White,Other unspecified,HS/GED
48820,2013,5,Suicide,0,M,20.0,White,Other specified,HS/GED
48822,2013,5,Suicide,0,M,71.0,White,Other unspecified,HS/GED
48824,2013,6,Suicide,0,F,46.0,White,Home,BA+
48825,2013,6,Suicide,0,M,22.0,White,Other unspecified,HS/GED
48826,2013,6,Suicide,0,M,49.0,White,Farm,HS/GED
48828,2013,5,Suicide,0,M,46.0,White,Other unspecified,HS/GED
48830,2013,6,Suicide,0,M,59.0,White,Other unspecified,Some college
48832,2013,6,Suicide,0,M,63.0,White,Other unspecified,HS/GED
48833,2013,6,Suicide,0,M,70.0,White,Farm,HS/GED
48834,2013,6,Suicide,0,M,80.0,White,Other unspecified,HS/GED
48835,2013,5,Suicide,0,F,43.0,White,Other specified,BA+
48838,2013,6,Suicide,0,M,64.0,White,Other unspecified,BA+
48840,2013,6,Suicide,0,M,79.0,White,Trade/service area,HS/GED
48841,2013,6,Suicide,0,M,77.0,White,Other unspecified,Less than HS
48842,2013,6,Suicide,0,M,23.0,White,Other unspecified,Some college
48843,2013,7,Suicide,0,F,43.0,White,Other unspecified,HS/GED
48845,2013,7,Suicide,0,M,80.0,White,Other unspecified,BA+
48846,2013,7,Suicide,0,M,33.0,White,Other unspecified,Some college
48847,2013,4,Suicide,0,M,17.0,White,Other unspecified,Less than HS
48848,2013,7,Suicide,0,M,22.0,White,Other unspecified,HS/GED
48849,2013,7,Suicide,0,M,25.0,White,Industrial/construction,HS/GED
48850,2013,7,Suicide,0,F,64.0,White,Other unspecified,HS/GED
48851,2013,7,Suicide,0,M,54.0,White,Other unspecified,Less than HS
48852,2013,7,Suicide,0,F,28.0,White,Home,HS/GED
48853,2013,7,Suicide,0,M,48.0,White,Other unspecified,HS/GED
48854,2013,7,Suicide,0,M,72.0,White,Other specified,Some college
48855,2013,7,Suicide,0,M,87.0,White,Other unspecified,Some college
48856,2013,7,Suicide,0,M,18.0,White,Other specified,HS/GED
48857,2013,8,Accidental,0,M,19.0,White,Home,HS/GED
48858,2013,8,Suicide,0,M,23.0,White,Other unspecified,BA+
48860,2013,8,Suicide,0,M,60.0,White,Other unspecified,BA+
48862,2013,8,Suicide,0,M,88.0,White,Other unspecified,HS/GED
48864,2013,8,Suicide,0,M,14.0,White,Other unspecified,Less than HS
48866,2013,9,Suicide,0,M,66.0,White,Other unspecified,Some college
48868,2013,9,Suicide,0,M,40.0,White,Other unspecified,HS/GED
48869,2013,9,Suicide,0,M,48.0,White,Other unspecified,Less than HS
48870,2013,9,Suicide,0,M,50.0,White,Other unspecified,Some college
48871,2013,9,Suicide,0,M,84.0,White,Other specified,HS/GED
48874,2013,9,Suicide,0,M,73.0,White,Other unspecified,BA+
48878,2013,9,Suicide,0,M,19.0,White,Other unspecified,Some college
48879,2013,9,Suicide,0,M,70.0,White,Other unspecified,Less than HS
48882,2013,10,Suicide,0,M,52.0,White,Other specified,BA+
48884,2013,10,Suicide,0,M,21.0,White,Industrial/construction,HS/GED
48885,2013,10,Suicide,0,M,43.0,White,Other specified,Some college
48886,2013,10,Suicide,0,M,51.0,White,Other unspecified,BA+
48887,2013,10,Suicide,0,M,77.0,White,Other unspecified,HS/GED
48888,2013,10,Suicide,0,M,53.0,White,Other unspecified,Some college
48889,2013,10,Suicide,0,M,42.0,White,Other unspecified,HS/GED
48890,2013,10,Suicide,0,M,68.0,White,Other unspecified,Less than HS
48893,2013,11,Suicide,0,F,55.0,White,Other unspecified,Some college
48894,2013,10,Suicide,0,M,56.0,White,Other unspecified,Some college
48895,2013,11,Suicide,0,M,58.0,White,Other unspecified,BA+
48896,2013,11,Suicide,0,M,43.0,White,Other specified,BA+
48897,2013,11,Suicide,0,F,24.0,White,Other specified,Some college
48898,2013,11,Suicide,0,M,92.0,White,Other unspecified,BA+
48900,2013,11,Suicide,0,M,56.0,White,Other unspecified,HS/GED
48901,2013,11,Suicide,0,M,27.0,White,Trade/service area,Less than HS
48903,2013,11,Suicide,0,F,29.0,White,Other unspecified,Some college
48905,2013,12,Suicide,0,M,32.0,White,Home,HS/GED
48906,2013,12,Suicide,0,M,27.0,White,Other unspecified,HS/GED
48908,2013,12,Suicide,0,M,66.0,White,Other unspecified,HS/GED
48909,2013,12,Suicide,0,F,47.0,White,Other unspecified,HS/GED
48910,2013,12,Suicide,0,M,65.0,White,Other unspecified,HS/GED
48912,2013,12,Suicide,0,M,43.0,White,Other unspecified,HS/GED
48913,2013,12,Suicide,0,M,57.0,White,Other unspecified,HS/GED
48914,2013,12,Suicide,0,M,82.0,White,Other unspecified,HS/GED
48915,2013,12,Suicide,0,M,72.0,White,Other unspecified,Less than HS
48921,2013,1,Suicide,0,M,57.0,White,Street,HS/GED
48930,2013,1,Suicide,0,M,45.0,Black,Home,Less than HS
48939,2013,1,Suicide,0,M,58.0,Black,Home,HS/GED
48943,2013,1,Suicide,0,M,37.0,White,Other specified,HS/GED
48945,2013,1,Suicide,0,M,83.0,White,Home,Some college
48946,2013,1,Suicide,0,M,66.0,White,Home,Less than HS
48951,2013,1,Suicide,0,M,47.0,White,Other specified,HS/GED
48952,2013,1,Suicide,0,M,64.0,Native American/Native Alaskan,Home,HS/GED
48955,2013,1,Suicide,0,F,58.0,Black,School/instiution,HS/GED
48960,2013,1,Suicide,0,M,42.0,Black,Other unspecified,HS/GED
48963,2013,1,Suicide,0,M,51.0,White,Sports,HS/GED
48964,2013,1,Suicide,0,M,88.0,Black,Home,Less than HS
48978,2013,1,Suicide,0,M,31.0,Black,Home,HS/GED
49009,2013,2,Suicide,0,F,35.0,White,Street,HS/GED
49011,2013,2,Suicide,0,M,82.0,White,Home,HS/GED
49017,2013,2,Suicide,0,M,31.0,Native American/Native Alaskan,Home,HS/GED
49019,2013,2,Suicide,0,M,26.0,Black,Home,Less than HS
49020,2013,2,Suicide,0,M,46.0,White,Other unspecified,Some college
49025,2013,1,Suicide,0,M,72.0,White,Other specified,HS/GED
49026,2013,2,Suicide,0,M,29.0,White,Other specified,Some college
49027,2013,1,Accidental,0,M,19.0,White,Other unspecified,HS/GED
49032,2013,2,Suicide,0,M,60.0,White,Other specified,BA+
49033,2013,2,Suicide,0,M,65.0,White,Trade/service area,BA+
49055,2013,2,Suicide,0,F,28.0,White,Other specified,HS/GED
49062,2013,3,Accidental,0,M,3.0,White,Home,Less than HS
49063,2013,3,Suicide,0,M,13.0,White,Other specified,Less than HS
49066,2013,3,Undetermined,0,F,41.0,White,Home,Less than HS
49067,2013,3,Suicide,0,M,48.0,White,Other specified,BA+
49068,2013,3,Suicide,0,M,65.0,White,Other specified,HS/GED
49071,2013,2,Suicide,0,M,67.0,White,Other unspecified,Some college
49078,2013,3,Suicide,0,F,57.0,White,Home,BA+
49079,2013,3,Suicide,0,M,13.0,White,Residential institution,Less than HS
49081,2013,3,Suicide,0,M,63.0,White,Trade/service area,BA+
49092,2013,4,Suicide,0,M,55.0,Black,School/instiution,HS/GED
49106,2013,4,Suicide,0,M,41.0,Black,Home,Some college
49109,2013,4,Suicide,0,M,84.0,Black,Other unspecified,Less than HS
49118,2013,4,Undetermined,0,M,57.0,Black,Home,Some college
49123,2013,4,Suicide,0,M,77.0,White,Other specified,HS/GED
49124,2013,4,Suicide,0,M,12.0,White,Home,Less than HS
49125,2013,4,Suicide,0,M,47.0,White,Other specified,BA+
49128,2013,3,Suicide,0,M,59.0,White,Other specified,Less than HS
49131,2013,4,Suicide,0,M,77.0,White,Home,HS/GED
49139,2013,3,Suicide,0,M,25.0,White,Other unspecified,BA+
49140,2013,3,Suicide,0,F,43.0,Black,Other unspecified,BA+
49144,2013,4,Suicide,0,M,57.0,White,Trade/service area,BA+
49145,2013,4,Suicide,0,M,38.0,Black,Home,Some college
49146,2013,4,Suicide,0,M,54.0,White,Other unspecified,Some college
49148,2013,4,Suicide,0,M,37.0,White,Home,BA+
49158,2013,3,Suicide,0,M,20.0,White,Home,Less than HS
49173,2013,5,Suicide,0,F,43.0,White,Home,HS/GED
49179,2013,4,Suicide,0,M,41.0,White,Street,Some college
49181,2013,5,Suicide,0,M,18.0,White,Other specified,Some college
49185,2013,5,Suicide,0,M,37.0,White,Home,Some college
49187,2013,5,Suicide,0,F,40.0,White,Home,BA+
49190,2013,5,Suicide,0,M,47.0,White,Home,Some college
49191,2013,5,Suicide,0,M,68.0,White,Home,Some college
49194,2013,4,Suicide,0,M,48.0,White,Trade/service area,BA+
49196,2013,5,Suicide,0,M,24.0,White,Home,BA+
49200,2013,5,Suicide,0,M,28.0,White,Home,BA+
49204,2013,5,Suicide,0,M,24.0,Hispanic,Home,Some college
49209,2013,5,Suicide,0,M,57.0,White,Trade/service area,Some college
49213,2013,5,Suicide,0,M,51.0,White,Other unspecified,HS/GED
49214,2013,6,Suicide,0,M,77.0,White,Home,Less than HS
49220,2013,5,Suicide,0,M,36.0,Black,Other unspecified,HS/GED
49224,2013,6,Suicide,0,M,77.0,White,Home,BA+
49225,2013,6,Suicide,0,M,54.0,White,Home,Less than HS
49226,2013,6,Suicide,0,M,31.0,White,Other specified,HS/GED
49227,2013,6,Suicide,0,F,27.0,White,Home,Some college
49228,2013,6,Suicide,0,M,57.0,White,Other unspecified,BA+
49230,2013,6,Suicide,0,M,70.0,White,Other specified,Some college
49237,2013,6,Suicide,0,M,54.0,White,Street,Some college
49238,2013,6,Suicide,0,M,85.0,White,Home,Less than HS
49239,2013,6,Suicide,0,M,57.0,White,Street,BA+
49240,2013,4,Suicide,0,M,27.0,Hispanic,Home,HS/GED
49242,2013,6,Suicide,0,M,81.0,White,Home,BA+
49248,2013,4,Suicide,0,M,87.0,White,Trade/service area,Some college
49252,2013,5,Suicide,0,M,16.0,Black,Home,Less than HS
49253,2013,5,Suicide,0,M,49.0,Black,Home,Less than HS
49255,2013,5,Suicide,0,M,25.0,White,Home,Less than HS
49262,2013,5,Suicide,0,M,49.0,White,Home,Some college
49265,2013,5,Suicide,0,M,31.0,Black,Home,Some college
49284,2013,6,Suicide,0,M,36.0,Black,School/instiution,Some college
49289,2013,6,Suicide,0,M,45.0,Black,Home,BA+
49304,2013,7,Suicide,0,F,24.0,Black,Home,HS/GED
49314,2013,7,Suicide,0,M,52.0,Black,Home,Some college
49319,2013,7,Suicide,0,M,77.0,White,Home,BA+
49321,2013,7,Suicide,0,M,83.0,White,Home,Some college
49330,2013,4,Suicide,0,M,18.0,White,Home,HS/GED
49334,2013,7,Suicide,0,F,81.0,White,Home,HS/GED
49338,2013,7,Suicide,0,M,60.0,White,Other specified,Less than HS
49339,2013,7,Suicide,0,M,27.0,White,Other specified,Some college
49341,2013,6,Suicide,0,M,26.0,White,Trade/service area,BA+
49346,2013,6,Suicide,0,M,86.0,White,Home,Less than HS
49348,2013,7,Suicide,0,M,25.0,White,Other specified,BA+
49349,2013,7,Suicide,0,M,61.0,White,Other specified,HS/GED
49350,2013,7,Suicide,0,M,80.0,Black,Other specified,HS/GED
49359,2013,6,Suicide,0,F,63.0,White,Home,HS/GED
49364,2013,7,Accidental,0,F,20.0,White,Other specified,HS/GED
49365,2013,7,Suicide,0,M,59.0,White,Home,Some college
49369,2013,4,Suicide,0,M,27.0,Black,Home,Some college
49370,2013,6,Suicide,0,M,70.0,White,Street,Less than HS
49374,2013,6,Suicide,0,F,68.0,White,Home,HS/GED
49375,2013,6,Suicide,0,F,23.0,White,Home,HS/GED
49378,2013,8,Suicide,0,M,31.0,Native American/Native Alaskan,Other specified,BA+
49384,2013,7,Suicide,0,M,58.0,Black,Home,Some college
49388,2013,8,Accidental,0,M,41.0,White,Home,Some college
49389,2013,6,Suicide,0,F,48.0,White,Home,HS/GED
49390,2013,8,Suicide,0,M,42.0,White,Other unspecified,Some college
49394,2013,7,Suicide,0,M,69.0,White,Other specified,Some college
49396,2013,8,Suicide,0,M,47.0,White,Home,BA+
49397,2013,8,Suicide,0,M,37.0,White,Trade/service area,Some college
49400,2013,7,Suicide,0,M,37.0,Asian/Pacific Islander,Other specified,BA+
49403,2013,7,Suicide,0,M,45.0,White,Home,HS/GED
49405,2013,8,Suicide,0,F,16.0,White,Farm,Less than HS
49407,2013,8,Suicide,0,M,56.0,White,Home,BA+
49413,2013,8,Suicide,0,M,24.0,White,Home,BA+
49419,2013,8,Suicide,0,M,72.0,White,Home,BA+
49425,2013,9,Suicide,0,F,24.0,Black,Home,Some college
49427,2013,9,Suicide,0,M,91.0,White,Home,BA+
49428,2013,9,Suicide,0,M,65.0,White,Trade/service area,HS/GED
49431,2013,9,Suicide,0,F,31.0,White,Home,HS/GED
49432,2013,9,Suicide,0,F,46.0,White,Home,BA+
49434,2013,9,Undetermined,0,M,61.0,White,Home,BA+
49435,2013,9,Suicide,0,M,56.0,White,Home,Some college
49441,2013,9,Suicide,0,M,26.0,White,Home,Some college
49448,2013,10,Suicide,0,M,35.0,Asian/Pacific Islander,Home,HS/GED
49449,2013,9,Suicide,0,F,67.0,White,Home,HS/GED
49450,2013,10,Suicide,0,M,94.0,White,Other specified,HS/GED
49453,2013,10,Suicide,0,F,34.0,White,Other unspecified,Some college
49456,2013,10,Suicide,0,M,58.0,White,Home,BA+
49458,2013,10,Suicide,0,F,34.0,Asian/Pacific Islander,Home,BA+
49463,2013,9,Suicide,0,F,73.0,White,Home,HS/GED
49465,2013,9,Suicide,0,M,40.0,Asian/Pacific Islander,Home,Some college
49470,2013,10,Suicide,0,M,59.0,White,Home,Less than HS
49471,2013,10,Suicide,0,M,39.0,Asian/Pacific Islander,Home,HS/GED
49475,2013,9,Suicide,0,M,86.0,White,Home,Less than HS
49476,2013,9,Suicide,0,M,17.0,Black,Trade/service area,HS/GED
49477,2013,10,Suicide,0,M,45.0,White,Home,HS/GED
49497,2013,8,Suicide,0,M,47.0,Black,Home,HS/GED
49498,2013,8,Suicide,0,M,25.0,Black,Home,HS/GED
49519,2013,9,Suicide,0,M,25.0,White,Street,HS/GED
49522,2013,9,Suicide,0,M,23.0,Black,Street,HS/GED
49523,2013,9,Suicide,0,F,48.0,Hispanic,Home,Some college
49526,2013,9,Suicide,0,M,50.0,Black,Street,HS/GED
49532,2013,9,Suicide,0,F,56.0,Black,Home,Some college
49535,2013,9,Suicide,0,M,16.0,Black,Street,Less than HS
49553,2013,10,Suicide,0,F,50.0,White,Home,HS/GED
49556,2013,10,Suicide,0,M,16.0,Native American/Native Alaskan,Other specified,Less than HS
49559,2013,11,Suicide,0,M,34.0,White,Trade/service area,BA+
49561,2013,8,Suicide,0,M,58.0,White,Trade/service area,HS/GED
49566,2013,5,Suicide,0,M,44.0,Black,Home,Less than HS
49570,2013,11,Suicide,0,M,10.0,White,Home,Less than HS
49572,2013,10,Suicide,0,M,25.0,White,Home,Some college
49578,2013,11,Suicide,0,M,63.0,Black,Street,Some college
49579,2013,11,Suicide,0,M,49.0,Black,Home,HS/GED
49581,2013,10,Suicide,0,M,57.0,White,Other specified,HS/GED
49591,2013,10,Suicide,0,M,43.0,Black,Home,Some college
49593,2013,10,Suicide,0,F,21.0,White,Trade/service area,Some college
49609,2013,11,Suicide,0,M,55.0,Black,Home,BA+
49618,2013,11,Suicide,0,M,55.0,White,Home,Some college
49629,2013,12,Suicide,0,M,69.0,Black,Home,BA+
49632,2013,12,Suicide,0,M,65.0,White,Home,Less than HS
49633,2013,12,Suicide,0,M,40.0,White,Home,Some college
49636,2013,11,Suicide,0,M,34.0,White,Other specified,Less than HS
49638,2013,12,Suicide,0,M,66.0,Hispanic,Home,HS/GED
49639,2013,12,Suicide,0,M,53.0,White,Home,Some college
49640,2013,12,Suicide,0,M,64.0,White,Home,Less than HS
49643,2013,12,Suicide,0,M,39.0,White,Other specified,BA+
49646,2013,11,Suicide,0,M,38.0,White,Home,Less than HS
49647,2013,11,Suicide,0,M,71.0,White,Home,HS/GED
49649,2013,11,Accidental,0,M,52.0,White,Other specified,BA+
49653,2013,11,Suicide,0,M,85.0,White,Home,BA+
49655,2013,12,Suicide,0,F,53.0,White,Home,Some college
49668,2013,11,Suicide,0,M,30.0,White,Home,Less than HS
49678,2013,12,Suicide,0,M,26.0,Black,Home,HS/GED
49693,2013,12,Suicide,0,M,26.0,White,Home,HS/GED
49696,2013,12,Suicide,0,M,21.0,White,Other specified,Some college
49701,2013,1,Suicide,0,F,41.0,White,Home,HS/GED
49707,2013,1,Suicide,0,M,33.0,Black,Home,BA+
49715,2013,1,Suicide,0,M,27.0,White,Other specified,Less than HS
49716,2013,1,Suicide,0,M,90.0,White,Home,HS/GED
49717,2013,1,Suicide,0,F,19.0,Hispanic,Home,HS/GED
49725,2013,1,Undetermined,0,F,44.0,White,Home,Some college
49727,2013,2,Suicide,0,F,66.0,White,Other unspecified,Some college
49728,2013,2,Suicide,0,M,91.0,White,Home,HS/GED
49729,2013,2,Suicide,0,M,55.0,White,Other specified,Some college
49730,2013,2,Suicide,0,M,78.0,White,Other specified,HS/GED
49731,2013,2,Suicide,0,M,83.0,White,Street,BA+
49738,2013,2,Accidental,0,F,13.0,White,Home,Less than HS
49739,2013,2,Suicide,0,M,31.0,White,Other unspecified,HS/GED
49747,2013,3,Suicide,0,M,93.0,White,Home,HS/GED
49748,2013,3,Suicide,0,M,70.0,White,Other specified,HS/GED
49750,2013,3,Suicide,0,M,43.0,White,Other specified,HS/GED
49754,2013,3,Suicide,0,F,22.0,White,Home,Some college
49756,2013,3,Suicide,0,M,90.0,White,Farm,HS/GED
49757,2013,3,Suicide,0,F,44.0,White,Home,BA+
49758,2013,3,Suicide,0,F,50.0,White,Other specified,HS/GED
49759,2013,3,Suicide,0,M,85.0,White,Home,Some college
49761,2013,3,Suicide,0,M,30.0,White,Home,Less than HS
49772,2013,4,Suicide,0,M,42.0,White,Other specified,Some college
49776,2013,4,Suicide,0,M,73.0,White,Other specified,HS/GED
49778,2013,4,Suicide,0,M,54.0,White,Other specified,BA+
49780,2013,4,Suicide,0,F,33.0,White,Home,HS/GED
49782,2013,4,Suicide,0,M,28.0,White,Home,BA+
49790,2013,4,Suicide,0,M,30.0,White,Home,BA+
49791,2013,4,Suicide,0,M,20.0,Hispanic,Street,Less than HS
49796,2013,4,Suicide,0,M,71.0,White,Trade/service area,BA+
49799,2013,5,Suicide,0,M,24.0,White,Home,HS/GED
49801,2013,4,Suicide,0,M,44.0,White,Other unspecified,HS/GED
49806,2013,5,Suicide,0,M,55.0,Black,Home,Less than HS
49809,2013,5,Suicide,0,M,34.0,Asian/Pacific Islander,Home,BA+
49810,2013,5,Suicide,0,M,70.0,White,Trade/service area,HS/GED
49813,2013,5,Suicide,0,M,59.0,White,Home,Less than HS
49814,2013,5,Suicide,0,M,86.0,White,Home,Less than HS
49815,2013,5,Suicide,0,M,33.0,Black,Other specified,Some college
49817,2013,5,Suicide,0,M,42.0,White,Home,Less than HS
